Probe,Gene,logFC
204718_at,TMCO5A,-1.439632308526557
216416_at,PPARGC1B,-1.4394931010086855
243656_at,XKR6,-1.4394737104441293
1562231_at,TSGA13,-1.4394727958412306
201832_s_at,SYNE3,-1.4392578231568978
216023_at,HDX,-1.4391764927695465
226695_at,CDYL2,-1.439121118697198
218411_s_at,C18orf54,-1.438965039694722
244472_at,C18orf54,-1.438808786578498
1568755_a_at,SYT14,-1.4387518976949174
208841_s_at,CDC20B,-1.4385344827480966
217748_at,TECTB,-1.4384888734455374
1569585_at,VWA3A,-1.4383671246130973
221110_x_at,HUS1B,-1.4381251704655547
222937_s_at,NPB,-1.437925433008447
216823_at,LRCH3,-1.4377836994798885
213025_at,ENAH,-1.4373662003172367
244828_x_at,STK35,-1.4373643575212836
233700_at,PRF1,-1.4364422730309
1561128_at,FBXL14,-1.4363951380971893
224297_s_at,PPIL6,-1.4361667565578748
231635_x_at,METTL6,-1.435825482609603
242696_at,B3GALNT2,-1.4354657194651406
218445_at,CBR4,-1.4354652642113506
217559_at,ZNF569,-1.435425129822139
1561850_at,CCSAP,-1.4353892043465275
212887_at,DUSP18,-1.4353187134649499
233731_at,ZNF697,-1.4353074165075113
1555707_at,ZNF791,-1.4351940600515813
235953_at,ZNF791,-1.4351819724783492
242933_at,CHRM3,-1.4350975299422535
218532_s_at,HTRA4,-1.4349442034596303
1562601_at,LINC00525,-1.4349210304831121
212284_x_at,FAM218A,-1.433973134230722
219614_s_at,RHEBL1,-1.433782934004432
228508_at,MCRIP2,-1.4336118643494304
242806_at,RNF152,-1.4325881283743984
1552586_at,ADGRG3,-1.4322899781122684
1569739_at,TBC1D32,-1.4320681323480633
218786_at,"LRRC43, B3GNT4",-1.4313868560751117
1567986_at,ZFC3H1,-1.4308961446440984
207771_at,IRAK2,-1.4308848904684817
1554787_at,Unknown,-1.430049945698465
1561499_at,FAM76B,-1.4299880335608588
204911_s_at,PRR14L,-1.4295430694000064
AFFX.DapX.5_at,KLHL32,-1.4291822847014484
223144_s_at,SLAMF9,-1.4289356110484777
229729_at,GK5,-1.4287770441134855
210602_s_at,VESTAR,-1.428676461265209
1561370_at,BLTP1,-1.428088442007152
1555443_at,SILC1,-1.42797860027552
237078_at,FBXL13,-1.4274194473875412
1567334_at,DTD2,-1.4267483230388174
1569274_at,SOX3,-1.4265646261205396
1560868_s_at,NKX2-3,-1.4256837077473092
217858_s_at,FAM222A-AS1,-1.4255647005579806
213754_s_at,TCEANC,-1.4250664576373366
220347_at,Unknown,-1.4250573255767374
1563961_at,Unknown,-1.4250406596679455
215899_at,Unknown,-1.4249908035315095
231903_x_at,RTP1,-1.4248632524884604
1553205_at,NXPE1,-1.4247381108531674
235180_at,"MAGEA2B, MAGEA2",-1.424421795124001
AFFX.r2.Bs.dap.M_at,COL6A5,-1.4242315469425237
234048_s_at,PGAM5,-1.4242254569496917
226071_at,CCDC149,-1.4230932766964082
222078_at,C10orf67,-1.4229564609074439
1552383_at,C10orf67,-1.4229339569481265
220208_at,C10orf67,-1.4226746325848771
233200_at,CBY2,-1.4225469627166842
231196_x_at,CCDC26,-1.4225308677058115
229407_at,SPIC,-1.4223176405765232
50314_i_at,VPS13B,-1.4217806654943648
